country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NL,Netherlands,12,Zuid-Holland,22330,D66,Democraten 66,Democrats 66,1995,Ruimte voor de Toekomst-  Verkiezingsprogramma D66 Provinciale Staten Zuid-Holland 1995-1999
NL,Netherlands,12,Zuid-Holland,22330,D66,Democraten 66,Democrats 66,1999,Verkiezingsprogramma voor Provinciale Staten van Zuid-Holland 1999-2003 - Democratisch & Duurzaam & Divers
NL,Netherlands,12,Zuid-Holland,22330,D66,Democraten 66,Democrats 66,2003,De provincie is van u! Provinciaal Verkiezingsprogramma D66 Zuid Holland 2003-2007 - D66 pakt aan Ú kiest!
NL,Netherlands,12,Zuid-Holland,22320,PvdA,Partij van de Arbeid,Labour Party,2003,PvdA Verkiezingsprogramma 2003-2007
NL,Netherlands,12,Zuid-Holland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2003,Provinciaal programma 2003-2007: Waarde(n)vol Zuid-Holland
NL,Netherlands,12,Zuid-Holland,22526,CU,ChristenUnie,Christian Union,2003,CU Programma 2003-2007
NL,Netherlands,12,Zuid-Holland,22330,D66,Democraten 66,Democrats 66,2007,D66 democraten - Het gaat om ruimte! - Verkiezingsprogramma 2007-2011 Provinciale Staten Zuid-Holland
NL,Netherlands,12,Zuid-Holland,22110,GL,Groen Links,GreenLeft,2007,Bewust Groen - verkiezingsprogramma GroenLinks Zuid-Holland 2007-2011Bewust Groen - verkiezingsprogramma GroenLinks Zuid-Holland 2007-2011
NL,Netherlands,12,Zuid-Holland,22220,SP,Socialistische Partij,Socialist Party,2007,SP Verkiezingsprogramma Statenfractie Zuid Holland - Een beter Zuidholland
NL,Netherlands,12,Zuid-Holland,22430,LN,Leefbaar Nederland, Liveable Netherlands,2007, Verkiezingsprogramma 2007-2011 bestuurpricipes van Leefbaar Zuid-Holland
NL,Netherlands,12,Zuid-Holland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2007,Toegevoegde waarde - Provincial programma 2007-2011 van de SGP in Zuid-Holland
NL,Netherlands,12,Zuid-Holland,22320,PvdA,Partij van de Arbeid,Labour Party,2007,"PvdA in Zuid-Holland - Samen sterker, werken aan een beter Zuid-Holland"
NL,Netherlands,12,Zuid-Holland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007,VVD Zuid-Holland - Doen wat nodig is. - verkiezingsprogramma 2007-2011
NL,Netherlands,12,Zuid-Holland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,CDA Verkiezingsprogramma Provinciale Staten Zuid-Holland 2007-2011 - Vertrouwen in Zuid-Holland Vertrouwen in elkaar
NL,Netherlands,12,Zuid-Holland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007,"Mededogen en alle Staten - Verkiezingsprogramma Partij voor de Dieren Provinciale Staten van Zuid-Holland 2007"
NL,Netherlands,12,Zuid-Holland,22330,D66,Democraten 66,Democrats 66,2007,Anders Ja D66 - Verkiezingsprogramma D66 Zuid-Holland voor de Provinciale Staten 2011-2015
NL,Netherlands,12,Zuid-Holland,22110,GL,Groen Links,GreenLeft,2011, Zuid-Holland in de Toekomst - Verkiezingsprogramma Groen Links Zuid- Holland 2011
NL,Netherlands,12,Zuid-Holland,22220,SP,Socialistische Partij,Socialist Party,2011,Voor een beter Zuid-Holland! Verkiezingsprogramma SP - Zuid- Holland provinciale Staten 2011-2015
NL,Netherlands,12,Zuid-Holland,22320,PvdA,Partij van de Arbeid,Labour Party,2011,Het moet eerlijker
NL,Netherlands,12,Zuid-Holland,22330,D66,Democraten 66,Democrats 66,2011,Anders Ja D66 - Verkiezingsprogramma D66 Zuid-Holland voor de Provinciale Staten 2011-2015
NL,Netherlands,12,Zuid-Holland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2011,Toegevoegde waarde - SGP Verkiezingsprogramma provincie Zuid-Holland 2011-2015
NL,Netherlands,12,Zuid-Holland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,Ik hou van Zuid-Holland waar het goed wonwn en werken is - Verkiezingsprogramma CDA Zuid-Holland 2011-2015
NL,Netherlands,12,Zuid-Holland,22526,CU,ChristenUnie,Christian Union,2011,uit overtuiging - Chriesten Unie verkiezingsprogramma Zuid-Holland 2011-2015
NL,Netherlands,12,Zuid-Holland,22601,PVV,Partij voor Vrijheid,Party for Freedom,2011,Verkiezingsprogramma Zuid-Holland - Zuid-Holland: het kán anders en het moét anders!
NL,Netherlands,12,Zuid-Holland,22906,50+,50PLUS,50PLUS,2011,Provinciale speerpunten Zuid- Holland
NL,Netherlands,12,Zuid-Holland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011, Dieren, Natuur ein Milieu in alle Staten - Provinciale Statenverkiezingen 2011 - Geef de Dieren in Zuid-Holland een Stem
